name,profileUrl,website,founderName,linkedinUrl
Complete,https://www.ycombinator.com/companies/complete,https://complete.so,Rani Mavram,http://linkedin.com/in/ranimavram
Super Send,https://www.ycombinator.com/companies/super-send,https://supersend.io/,Kurtis Tryber,https://www.linkedin.com/in/kurtistryber/
Super Send,https://www.ycombinator.com/companies/super-send,https://supersend.io/,Kristopher Tryber,https://www.linkedin.com/in/kris-tryber-42726625/
RDash,https://www.ycombinator.com/companies/rdash,https://www.rdash.io,Amit Bansal,https://www.linkedin.com/in/amitbansal91/
RDash,https://www.ycombinator.com/companies/rdash,https://www.rdash.io,Puneet Bansal,https://www.linkedin.com/in/puneet-bansal-15656441/
RDash,https://www.ycombinator.com/companies/rdash,https://www.rdash.io,Amit Mishra,https://www.linkedin.com/in/amitmishraiitr/
Rehook.ai,https://www.ycombinator.com/companies/rehook-ai,https://rehook.ai/,Akhil Suhag,https://www.linkedin.com/in/akhil-suhag-1a823912/
Rehook.ai,https://www.ycombinator.com/companies/rehook-ai,https://rehook.ai/,Mukul Anand,https://www.linkedin.com/in/myselfmukul/
Rehook.ai,https://www.ycombinator.com/companies/rehook-ai,https://rehook.ai/,Tushar Dhara,https://in.linkedin.com/in/tushardhara
Rehook.ai,https://www.ycombinator.com/companies/rehook-ai,https://rehook.ai/,Akshay Suhag,https://www.linkedin.com/in/akshay-suhag-4400a5b0/
Atlas,https://www.ycombinator.com/companies/atlas-2,https://atlas.so,Jon O'Bryan,https://www.linkedin.com/in/jon-obryan/
Atlas,https://www.ycombinator.com/companies/atlas-2,https://atlas.so,Rahul Asati,https://www.linkedin.com/in/rahul-asati/
Instant Labs,https://www.ycombinator.com/companies/instant-labs,https://instant.ca,Beau Hartshorne,https://www.linkedin.com/in/beauhartshorne
Instant Labs,https://www.ycombinator.com/companies/instant-labs,https://instant.ca,Dirkjan Ochtman,https://www.linkedin.com/in/dochtman/
Yezza,https://www.ycombinator.com/companies/yezza,https://yezza.com,Ammar Roslizar,https://www.linkedin.com/in/ammarroslizar/
Yezza,https://www.ycombinator.com/companies/yezza,https://yezza.com,Wan Aizuddin,https://www.linkedin.com/in/wan-mohd-aizuddin-wan-mohamad-667158122/
Blaze,https://www.ycombinator.com/companies/blaze,https://withblaze.app/,Lauren Rothwell,https://www.linkedin.com/in/lauren-rothwell-8403b052/
Blaze,https://www.ycombinator.com/companies/blaze,https://withblaze.app/,Chirag Mahapatra,https://www.linkedin.com/in/chiragmahapatra/
Agave,https://www.ycombinator.com/companies/agave,https://www.agaveapi.com,Tom Reno,https://www.linkedin.com/in/tomreno/
Agave,https://www.ycombinator.com/companies/agave,https://www.agaveapi.com,Pooria Azimi,https://www.linkedin.com/in/pooria-azimi/
Agave,https://www.ycombinator.com/companies/agave,https://www.agaveapi.com,Samantha Zhang,https://www.linkedin.com/in/samanthaz/
Agave,https://www.ycombinator.com/companies/agave,https://www.agaveapi.com,John Zucchi,https://www.linkedin.com/in/johnzucchi/
